                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     100                                      659                  2.0000000000000000E+000                  2.0000000000000000E-002                  4.1408986761007136E+003                  6.9014978768345213E+002                  4.9522469397942486E+003                  1.1986306871935655E+001                  4.7031764482422886E+000                 -5.8086128549442755E+000                  6.9999999999958495E-001                  2.9797635666144972E-005                  2.7997020236474879E-001                  3.4468833607861245E-003                  1.0103427409336064E-003                  9.3805276451495376E-003                  2.0850244238750358E-003                  2.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999380E+000                  5.9595270562958547E-005                  5.5994040472949747E-001                  6.8937667215722550E-003                  2.0206854818672123E-003                  1.8761055290299079E-002                  4.1700488477500706E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2182009298694844E+004                  1.6709530019878193E+006                  1.6685706626473365E+009                  5.2776134475353026E-007                  5.2776134475353026E-007                  0.0000000000000000E+000                  2.1114720045508226E-008                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.3067682406091589E+011                               "r22.05.1"                               "gfortran"                                 "12.2.0"                  "aarch64-macos-22.10.1"                                 "CRMATH"                               "20221125"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                        q                                  r_div_R                                    grada                                       pp                                      cno                                 tri_alfa                                     logL                                    gradT                                    gradr                                    gradL                          gradT_div_grada                                      tau 
                                       1                  2.0000000000000000E+000                  6.7239127240129593E-001                  3.6948130312944056E+000                 -7.2308229590384947E+000                  4.2677812246338549E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  1.0000000000000000E+000                  3.9199151144171046E-001                  8.6219940122876740E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0786853922560338E+000                  1.2501748201302135E-001                  1.2501748201302135E-001                  3.9199151144171046E-001                  3.1892905423696039E-001                  6.6666666666666663E-001 
                                       2                  1.9999999999979998E+000                  6.7239120564479049E-001                  3.6948472640216545E+000                 -7.2305835191755428E+000                  4.2680549413081446E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999999999900002E-001                  9.9999984628747762E-001                  3.9199370641672998E-001                  8.6267500023926682E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0786853922555284E+000                  1.2505344108984387E-001                  1.2505344108984387E-001                  3.9199220006132440E-001                  3.1902022813280506E-001                  6.6693044908298760E-001 
                                       3                  1.9999999999936251E+000                  6.7239105969532043E-001                  3.6948942693206557E+000                 -7.2302551758048015E+000                  4.2684303506995702E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999999999681255E-001                  9.9999951022651168E-001                  3.9199672109391759E-001                  8.6332761476373007E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0786853922555291E+000                  1.2521077776992867E-001                  1.2521077776992867E-001                  3.9199521375532376E-001                  3.1941914945952110E-001                  6.6750782057636893E-001 
                                       4                  1.9999999999892502E+000                  6.7239091385600436E-001                  3.6949480103799908E+000                 -7.2298803436299357E+000                  4.2688589935981067E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999999999462508E-001                  9.9999917441929731E-001                  3.9200016806091409E-001                  8.6407323392382427E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0786853922555300E+000                  1.2536814284009742E-001                  1.2536814284009742E-001                  3.9199822914197857E-001                  3.1981813569542966E-001                  6.6808566910156786E-001 
                                       5                  1.9999999999836251E+000                  6.7239072650986009E-001                  3.6950085000675394E+000                 -7.2294591931182639E+000                  4.2693407125350751E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999999999181255E-001                  9.9999874303930747E-001                  3.9200404870748018E-001                  8.6491175824454719E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0786853922555311E+000                  1.2557051220110008E-001                  1.2557051220110008E-001                  3.9200210838419713E-001                  3.2033121637710615E-001                  6.6882931837711213E-001 
                                       6                  1.9999999999780000E+000                  6.7239053934506343E-001                  3.6951060006409393E+000                 -7.2287818393022496E+000                  4.2701156944626595E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999999998900002E-001                  9.9999831207707135E-001                  3.9201030279411447E-001                  8.6626209902656669E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0786853922555319E+000                  1.2577293510142717E-001                  1.2577293510142717E-001                  3.9200598963091837E-001                  3.2084442184121970E-001                  6.6957375676725772E-001 
                                       7                  1.9999999999655000E+000                  6.7239012407061960E-001                  3.6952406401152360E+000                 -7.2278499759343351E+000                  4.2711823749403717E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999999998275002E-001                  9.9999735587439875E-001                  3.9201894381586466E-001                  8.6812326443331001E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0786853922555342E+000                  1.2622293528011574E-001                  1.2622293528011574E-001                  3.9201462330498960E-001                  3.2198527242672165E-001                  6.7123089092560273E-001 
                                       8                  1.9999999999530000E+000                  6.7238970968508505E-001                  3.6954428082325186E+000                 -7.2264572830166989E+000                  4.2727775054542132E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999999997650002E-001                  9.9999640171942239E-001                  3.9203191348885508E-001                  8.7091227967553654E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0786853922555364E+000                  1.2667318314444648E-001                  1.2667318314444648E-001                  3.9202326704019480E-001                  3.2312669628218382E-001                  6.7289192692133071E-001 
                                       9                  1.9999999999280003E+000                  6.7238888356392013E-001                  3.6958480072245323E+000                 -7.2236902167369452E+000                  4.2759503210257437E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999999996400002E-001                  9.9999449951379693E-001                  3.9205789311481282E-001                  8.7648024141077064E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0786853922555408E+000                  1.2757449096225501E-001                  1.2757449096225501E-001                  3.9204057336417431E-001                  3.2541144878835926E-001                  6.7622571696413147E-001 
