                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.05.1"                               "gfortran"                                 "12.2.0"                  "aarch64-macos-22.10.1"                                 "CRMATH"                               "20221125"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                    surface_optical_depth                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      466                  1.0000000000000001E-005                 -4.9999999999999991E+000                  4.0000000000000000E+001                  3.4900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9994864167443864E-001                  7.1728421856045124E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9994864167443864E-001                  7.1728421856045124E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8765818654720992E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8765818654720992E+001                 -1.8765818654720992E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6065205524469741E+000                  4.8002747976442137E+000                  2.7097494547926559E+000                  6.2062870904578371E-001                  6.6666666666666663E-001                  0.0000000000000000E+000                  5.6406589045514783E+000                 -5.4132061894928523E+000                  8.5020733183176347E+000                  8.5020733183176347E+000                 -5.4132061894928523E+000                  5.6406589045514783E+000                  6.2196507533566936E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4468833607861366E-003                  9.3805276451495428E-003                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  2.7999999999999989E+001                  1.1198808094589959E+001                                        0                                        2 
                                       5                                      476                  7.4416000000000014E-005                 -4.6832750158095005E+000                  4.0000000000000000E+001                  3.4900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9995065250169868E-001                  7.1605224884304208E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9995065250169868E-001                  7.1605224884304208E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8765817995350524E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8765817995350524E+001                 -1.8765817995350524E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6067057319003224E+000                  4.8010181644103653E+000                  2.7097507792690347E+000                  6.2062606009302557E-001                  6.6666666666666663E-001                  0.0000000000000000E+000                  5.6406589410411296E+000                 -5.4132060622889941E+000                  8.5020734768915887E+000                  8.5020734768915887E+000                 -5.4132060622889941E+000                  5.6406589410411296E+000                  6.2196507528598899E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4468833607861366E-003                  9.3805276451495428E-003                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  2.7999999999999989E+001                  1.1198808094589959E+001                                        0                                        2 
                                      10                                      476                  2.5958682111999997E-004                 -4.2873687855713758E+000                  4.0000000000000000E+001                  3.4900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9994864167443853E-001                  7.1610380371764787E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9994864167443853E-001                  7.1610380371764787E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8765815610874746E+001                 -9.8999999999999986E+001                 -3.4618449501357837E+001                 -1.8765815610874746E+001                 -1.8765815610874746E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6068770368130756E+000                  4.8017048428999081E+000                  2.7097515086882993E+000                  6.2062460125449637E-001                  6.6666666666666663E-001                  0.0000000000000000E+000                  5.6406590737241755E+000                 -5.4132056289277308E+000                  8.5020740327843285E+000                  8.5020740327843285E+000                 -5.4132056289277308E+000                  5.6406590737241755E+000                  6.2196507510178889E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4468833607861366E-003                  9.3805276451495428E-003                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  2.7999999999999989E+001                  1.1198808094589959E+001                                        0                                        2 
                                      15                                      476                  7.2035107872931814E-004                 -3.8914625553332525E+000                  4.0000000000000000E+001                  3.4900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9994864167443853E-001                  7.1621920538479530E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9994864167443853E-001                  7.1621920538479530E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8765809098369846E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8765809098369846E+001                 -1.8765809098369846E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6068631667549722E+000                  4.8016478036460182E+000                  2.7097507291775615E+000                  6.2062616027597217E-001                  6.6666666666666663E-001                  0.0000000000000000E+000                  5.6406594367927259E+000                 -5.4132044704105349E+000                  8.5020755345161376E+000                  8.5020755345161376E+000                 -5.4132044704105349E+000                  5.6406594367927259E+000                  6.2196507459442485E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4468833607861366E-003                  9.3805276451495428E-003                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  2.7999999999999989E+001                  1.1198808094589959E+001                                        0                                        2 
                                      20                                      476                  1.8668799962237366E-003                 -3.4955563250951283E+000                  4.0000000000000000E+001                  3.4900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9994864167443853E-001                  7.1644412797045004E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9994864167443853E-001                  7.1644412797045004E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8765792884417706E+001                 -9.8999999999999986E+001                 -3.4618449501357837E+001                 -1.8765792884417703E+001                 -1.8765792884417706E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6068226939442014E+000                  4.8014825166890569E+000                  2.7097490313206229E+000                  6.2062955598984915E-001                  6.6666666666666663E-001                  0.0000000000000000E+000                  5.6406603407212845E+000                 -5.4132015864360774E+000                  8.5020792730979515E+000                  8.5020792730979515E+000                 -5.4132015864360774E+000                  5.6406603407212845E+000                  6.2196507333120099E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4468833607861366E-003                  9.3805276451495428E-003                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  2.7999999999999989E+001                  1.1198808094589959E+001                                        0                                        2 
                                      25                                      476                  4.7198108322034473E-003                 -3.0996500948570040E+000                  4.0000000000000000E+001                  3.4900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9994864167443853E-001                  7.1677618223170744E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9994864167443853E-001                  7.1677618223170744E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8765752622023570E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8765752622023570E+001                 -1.8765752622023570E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6067857620320964E+000                  4.8013281717445597E+000                  2.7097457226725834E+000                  6.2063617328592802E-001                  6.6666666666666663E-001                  0.0000000000000000E+000                  5.6406625852640015E+000                 -5.4131944216844756E+000                  8.5020885588896196E+000                  8.5020885588896196E+000                 -5.4131944216844756E+000                  5.6406625852640015E+000                  6.2196507019493419E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4468833607861366E-003                  9.3805276451495428E-003                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  2.7999999999999989E+001                  1.1198808094589959E+001                                        0                                        2 
                                      30                                      476                  1.1818815689988481E-002                 -2.7037438646188803E+000                  4.0000000000000000E+001                  3.4900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9994864167443853E-001                  7.1709458573627094E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9994864167443853E-001                  7.1709458573627094E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8765652489693935E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8765652489693935E+001                 -1.8765652489693935E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6067542470561591E+000                  4.8011879198611158E+000                  2.7097386266827361E+000                  6.2065036526562267E-001                  6.6666666666666663E-001                  0.0000000000000000E+000                  5.6406681673817483E+000                 -5.4131766008475424E+000                  8.5021116540321824E+000                  8.5021116540321824E+000                 -5.4131766008475424E+000                  5.6406681673817483E+000                  6.2196506239544980E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4468833607861366E-003                  9.3805276451495428E-003                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  2.7999999999999989E+001                  1.1198808094589959E+001                                        0                                        2 
                                      35                                      476                  2.9483411457712130E-002                 -2.3078376343807561E+000                  4.0000000000000000E+001                  3.4900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9994864167443853E-001                  7.1730307242692581E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9994864167443853E-001                  7.1730307242692581E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8765403294327658E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8765403294327658E+001                 -1.8765403294327658E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6067342100717799E+000                  4.8010760108483179E+000                  2.7097227461450961E+000                  6.2068212634090325E-001                  6.6666666666666663E-001                  0.0000000000000000E+000                  5.6406820594871387E+000                 -5.4131322519669958E+000                  8.5021691294043613E+000                  8.5021691294043613E+000                 -5.4131322519669958E+000                  5.6406820594871387E+000                  6.2196504298514776E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4468833607861366E-003                  9.3805276451495428E-003                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  2.7999999999999989E+001                  1.1198808094589959E+001                                        0                                        2 
                                      40                                      476                  7.3438578398454232E-002                 -1.9119314041426323E+000                  4.0000000000000000E+001                  3.4900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9994864167443853E-001                  7.1746928755408626E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9994864167443853E-001                  7.1746928755408626E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8764783258454344E+001                 -9.8999999999999986E+001                 -3.4317419505693856E+001                 -1.8764783258454344E+001                 -1.8764783258454344E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6067290412842441E+000                  4.8009830644349787E+000                  2.7096866105134985E+000                  6.2075439760409867E-001                  6.6666666666666663E-001                  0.0000000000000000E+000                  5.6407166255769265E+000                 -5.4130219021841208E+000                  8.5023121398151851E+000                  8.5023121398151851E+000                 -5.4130219021841208E+000                  5.6407166255769265E+000                  6.2196499469084243E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4468833607861366E-003                  9.3805276451495428E-003                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861384E-003                  9.3805276451495428E-003                  2.7999999999999989E+001                  1.1198808094589959E+001                                        0                                        2 
